ProductName,Date,Sales
4K TV,2015-01-31 00:00:00,81
4K TV,2015-02-28 00:00:00,208
4K TV,2015-03-31 00:00:00,102
4K TV,2015-04-30 00:00:00,99
4K TV,2015-05-31 00:00:00,122
4K TV,2015-06-30 00:00:00,89
4K TV,2015-07-31 00:00:00,127
4K TV,2015-08-31 00:00:00,136
4K TV,2015-09-30 00:00:00,242
4K TV,2015-10-31 00:00:00,52
4K TV,2015-11-30 00:00:00,44
4K TV,2015-12-31 00:00:00,93
4K TV,2016-01-31 00:00:00,97
4K TV,2016-02-29 00:00:00,88
4K TV,2016-03-31 00:00:00,134
4K TV,2016-04-30 00:00:00,154
4K TV,2016-05-31 00:00:00,105
4K TV,2016-06-30 00:00:00,93
4K TV,2016-07-31 00:00:00,166
4K TV,2016-08-31 00:00:00,150
4K TV,2016-09-30 00:00:00,192
4K TV,2016-10-31 00:00:00,66
4K TV,2016-11-30 00:00:00,94
4K TV,2016-12-31 00:00:00,74
4K TV,2017-01-31 00:00:00,114
4K TV,2017-02-28 00:00:00,89
4K TV,2017-03-31 00:00:00,142
4K TV,2017-04-30 00:00:00,112
4K TV,2017-05-31 00:00:00,149
4K TV,2017-06-30 00:00:00,108
4K TV,2017-07-31 00:00:00,79
4K TV,2017-08-31 00:00:00,136
4K TV,2017-09-30 00:00:00,224
4K TV,2017-10-31 00:00:00,115
4K TV,2017-11-30 00:00:00,96
4K TV,2017-12-31 00:00:00,58
4K TV,2018-01-31 00:00:00,133
4K TV,2018-02-28 00:00:00,118
4K TV,2018-03-31 00:00:00,109
4K TV,2018-04-30 00:00:00,150
4K TV,2018-05-31 00:00:00,128
4K TV,2018-06-30 00:00:00,162
4K TV,2018-07-31 00:00:00,97
4K TV,2018-08-31 00:00:00,74
4K TV,2018-09-30 00:00:00,96
4K TV,2018-10-31 00:00:00,67
4K TV,2018-11-30 00:00:00,93
4K TV,2018-12-31 00:00:00,146
4K TV,2019-01-31 00:00:00,188
4K TV,2019-02-28 00:00:00,118
4K TV,2019-03-31 00:00:00,147
